Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Devin Vassell,SF,21,SAS,18,0,25.0,4.4,9.5,.468,1.8,4.7,.388,2.6,4.8,.547,.564,0.9,1.2,.727,0.5,3.2,3.7,1.4,1.2,0.7,0.7,2.0,11.6
Gabe Vincent,PG,25,MIA,20,1,16.4,2.4,5.3,.443,1.3,3.2,.391,1.1,2.1,.524,.561,0.5,0.6,.833,0.5,1.0,1.5,2.0,0.6,0.1,1.1,1.9,6.5
Nikola Vučević,C,31,CHI,16,16,33.1,6.3,14.5,.431,1.6,4.5,.361,4.6,10.0,.463,.487,1.1,1.8,.643,1.8,9.1,10.9,4.1,1.0,1.1,1.7,2.4,15.3
Dean Wade,PF,25,CLE,16,11,22.4,1.8,4.5,.403,0.9,2.9,.298,0.9,1.6,.600,.500,0.3,0.4,.833,0.8,2.5,3.3,1.3,0.7,0.1,0.3,2.0,4.8
Franz Wagner,SF,20,ORL,24,24,31.7,5.2,12.0,.436,1.4,3.9,.366,3.8,8.1,.469,.495,1.8,2.2,.792,1.3,3.0,4.3,2.6,1.1,0.5,1.2,2.5,13.6
Moritz Wagner,C,24,ORL,22,0,11.3,2.0,4.4,.458,1.0,2.8,.371,1.0,1.5,.618,.578,1.1,1.5,.735,0.5,2.0,2.4,0.6,0.1,0.2,0.8,1.8,6.2
Ish Wainright,F,27,PHO,5,0,4.2,0.2,1.0,.200,0.0,0.4,.000,0.2,0.6,.333,.200,0.0,0.4,.000,0.2,0.2,0.4,0.4,0.4,0.0,0.2,1.2,0.4
Kemba Walker,PG,31,NYK,18,18,24.5,4.2,9.8,.429,2.1,5.1,.413,2.1,4.7,.447,.537,1.1,1.4,.800,0.1,2.4,2.6,3.1,1.1,0.3,1.3,1.1,11.7
Lonnie Walker,SG,23,SAS,20,3,22.3,3.7,10.0,.367,1.5,5.2,.279,2.2,4.8,.463,.440,1.1,1.4,.815,0.1,2.9,3.0,2.6,0.7,0.4,1.3,1.4,9.9
Brad Wanamaker,PG,32,IND,13,0,12.2,1.1,3.2,.333,0.3,1.0,.308,0.8,2.2,.345,.381,1.2,1.3,.882,0.3,1.4,1.7,2.2,0.2,0.4,1.1,1.7,3.6
Duane Washington Jr.,PG,21,IND,2,0,2.0,1.0,1.5,.667,0.5,1.0,.500,0.5,0.5,1.000,.833,0.0,0.0,0,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,2.5
P.J. Washington,PF,23,CHO,12,3,23.4,3.7,7.5,.489,1.9,4.0,.479,1.8,3.5,.500,.617,1.0,1.3,.750,1.2,3.5,4.7,1.8,0.7,1.0,1.4,1.7,10.3
Yuta Watanabe,SF,27,TOR,4,0,16.5,1.8,5.0,.350,1.5,3.8,.400,0.3,1.3,.200,.500,0.8,1.5,.500,1.3,1.8,3.0,0.5,0.8,0.5,0.3,2.0,5.8
Trendon Watford,F,21,POR,4,0,4.8,0.8,2.0,.375,0.0,0.0,0,0.8,2.0,.375,.375,0.0,0.3,.000,0.0,0.5,0.5,0.8,0.3,0.3,0.3,0.0,1.5
